影片名字,封面图片,电影地址,演员以及类型,影片宣传语,热度,豆瓣评分
侧耳倾听,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,https://movie.douban.com/subject/1291585/,,动画片的圣经。,200728人评价,8.8
猜火车,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg,https://movie.douban.com/subject/1293964/,,中国式内在的美国电影。,142217人评价,8.8
本杰明·巴顿奇事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,https://movie.douban.com/subject/1292402/,,美丽无罪。,421031人评价,8.8
6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,https://movie.douban.com/subject/1395091/,导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,好的剧本是，就算你猜到了结局也猜不到全部。,113707人评价,8.8
终结者2：审判日,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p794583044.jpg,https://movie.douban.com/subject/1291992/,,没有了退路，只好飞向自由。,116174人评价,8.7
忠犬八公物语,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg,https://movie.douban.com/subject/26628357/,,惠及一生的美丽。,143052人评价,8.7
致命ID,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg,https://movie.douban.com/subject/1418834/,1997 / 香港 日本 韩国 / 剧情 爱情 同性,每个人心中都有一座断背山。,368132人评价,8.7
勇敢的心,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,https://movie.douban.com/subject/26580232/,2013 / 韩国 / 剧情,你以为你以为的就是你以为的。,435882人评价,8.7
勇闯夺命岛,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg,https://movie.douban.com/subject/6534248/,1992 / 香港 中国大陆 / 剧情 动作 武侠 古装,迪士尼和皮克斯拿错剧本的产物。,207152人评价,8.7
英雄本色,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,https://movie.douban.com/subject/10777687/,2003 / 英国 美国 法国 / 喜剧 剧情 爱情,《我是山姆》的《美丽人生》。,205713人评价,8.7
音乐之声,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,https://movie.douban.com/subject/3742360/,1995 / 日本 / 剧情 爱情,你给我翻译翻译，神马叫做TMD的惊喜。,740822人评价,8.7
驯龙高手,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792263736.jpg,https://movie.douban.com/subject/1292274/,1995 / 美国 奥地利 瑞士 / 剧情 爱情,有时候幸福需要等一等。 ,254403人评价,8.7
血战钢锯岭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.jpg,https://movie.douban.com/subject/2297265/,导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,世界离独裁只有五天。,147475人评价,8.7
幸福终点站,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,https://movie.douban.com/subject/4202302/,,曾经的那段美好会沉淀为一辈子的记忆。,247293人评价,8.7
小鞋子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,https://movie.douban.com/subject/1292223/,,警察抓小偷，老鼠玩死猫。,495192人评价,8.7
小森林 冬春篇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,https://movie.douban.com/subject/3011235/,导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,10年的完美句点。,313233人评价,8.7
香水,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1864872647.jpg,https://movie.douban.com/subject/1291879/,导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...,人生的N种可能性。,142039人评价,8.7
喜剧之王,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p751835224.jpg,https://movie.douban.com/subject/1293359/,,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,216351人评价,8.7
头脑特工队,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg,https://movie.douban.com/subject/1308857/,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 杰米·福克斯 Jamie Foxx /...,坚硬的信仰。,143537人评价,8.7
甜蜜蜜,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1993903133.jpg,https://movie.douban.com/subject/1316510/,,百看不厌。 ,314776人评价,8.7
狩猎,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453720880.jpg,https://movie.douban.com/subject/1297192/,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,最不可能的那个人永远是最可能的。,369803人评价,8.7
神偷奶爸,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg,https://movie.douban.com/subject/1293318/,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,幸福是生生不息，却难以触及的远。 ,229293人评价,8.7
上帝之城,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452582315.jpg,https://movie.douban.com/subject/1296339/,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...,缘分是个连绵词，最美不过一瞬。,256191人评价,8.7
上帝也疯狂,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.jpg,https://movie.douban.com/subject/1300117/,,一部能引人思考的科幻励志片。,96434人评价,8.7
人工智能,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,https://movie.douban.com/subject/26325320/,,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,367710人评价,8.7
七武士,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480225538.jpg,https://movie.douban.com/subject/1300299/,,关于连环杀人悬案的集体回忆。,236421人评价,8.7
贫民窟的百万富翁,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2163771304.jpg,https://movie.douban.com/subject/1417598/,,真相就在眼前。,223202人评价,8.7
末路狂花,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg,https://movie.douban.com/subject/1300374/,导演: Andy Wachowski / Larry Wachowski   主演: Keanu Reeves / Laurence F...,天使暂时离开。,118556人评价,8.7
秒速5厘米,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455722535.jpg,https://movie.douban.com/subject/1300960/,,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,113536人评价,8.7
猫鼠游戏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,https://movie.douban.com/subject/1291999/,,寂寞没有期限。,384230人评价,8.7
恐怖游轮,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189835254.jpg,https://movie.douban.com/subject/5964718/,,只有有信仰的人才能说出事实真相。,145715人评价,8.7
菊次郎的夏天,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450042258.jpg,https://movie.douban.com/subject/2353023/,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,和谐的生活离不开摸头与被摸头。,329548人评价,8.7
教父3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2272146906.jpg,https://movie.douban.com/subject/1295409/,,香港浪漫主义警匪动作片的巅峰之作。,170499人评价,8.7
加勒比海盗,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,https://movie.douban.com/subject/4268598/,1997 / 美国 / 剧情,没有一人完全善，也没有一人完全恶。,390905人评价,8.7
荒岛余生,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792189453.jpg,https://movie.douban.com/subject/1292226/,导演: 安东尼·明格拉 Anthony Minghella   主演: 拉尔夫·费因斯 Ralph Fien...,现代科幻电影的开山之作，最伟大导演的最伟大影片。,105773人评价,8.7
花样年华,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,https://movie.douban.com/subject/1793929/,1990 / 美国 / 剧情 犯罪,Jared Leto的腿比女人还美！,210062人评价,8.7
虎口脱险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg,https://movie.douban.com/subject/1295865/,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...,传奇，不是每个人都可以拥有。,161218人评价,8.7
黑天鹅,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,https://movie.douban.com/subject/1907966/,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...,老少皆宜，这就是好莱坞动画的魅力。,416994人评价,8.7
断背山,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,https://movie.douban.com/subject/1291545/,,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,288958人评价,8.7
谍影重重,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p884936202.jpg,https://movie.douban.com/subject/1292270/,2004 / 中国大陆 香港 / 剧情 犯罪,一场没有春天的噩梦。,123157人评价,8.7
低俗小说,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,https://movie.douban.com/subject/1292370/,,浪漫忧郁的成人童话。,557179人评价,8.7
大闹天宫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,https://movie.douban.com/subject/1292343/,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻,人的命运被自己瞬间的抉择改变。,442113人评价,8.7
穿越时空的少女,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg,https://movie.douban.com/subject/26430107/,,有一些东西不应该被遗忘。,122724人评价,8.7
超脱,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg,https://movie.douban.com/subject/21360417/,,恐怖分子的“秋菊打官司”。,265117人评价,8.7
布达佩斯大饭店,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,https://movie.douban.com/subject/2334904/,,昔日翩翩少年，今日大腹便便。,420584人评价,8.7
碧海蓝天,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2232247487.jpg,https://movie.douban.com/subject/25895901/,导演: 小津安二郎 Yasujirô Ozu   主演: 笠智众 Chishû Ryû / 原节...,是枝裕和的家庭习作。,155606人评价,8.7
被嫌弃的松子的一生,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803896904.jpg,https://movie.douban.com/subject/1292215/,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,法式小清新。 ,551635人评价,8.7
爱在黎明破晓前,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,https://movie.douban.com/subject/21318488/,1936 / 美国 / 喜剧 剧情 爱情,年度最佳date movie。,415201人评价,8.7
阿飞正传,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg,https://movie.douban.com/subject/10533913/,,愿我们都不用长大，每一座城堡都能永远存在。,263567人评价,8.7
6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg,https://movie.douban.com/subject/1578507/,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...,像吃了苏打饼一样干脆的电影。,204242人评价,8.7
撞车,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453719066.jpg,https://movie.douban.com/subject/1419936/,,做一颗让别人需要你的棋子。,190695人评价,8.6
真爱至上,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,https://movie.douban.com/subject/1292328/,1993 / 台湾 美国 / 剧情 喜剧 爱情 同性 家庭,电影诗。,286890人评价,8.6
这个男人来自地球,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p636048104.jpg,https://movie.douban.com/subject/1292728/,导演: 李惠民 Raymond Lee   主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,类型片的极致。 ,154713人评价,8.6
源代码,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg,https://movie.douban.com/subject/1291844/,,少见的超越首部的续集，动作片中的经典。,156007人评价,8.6
雨中曲,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg,https://movie.douban.com/subject/1937946/,1991 / 香港 / 剧情 喜剧 动作 犯罪,爱上未来的你。 ,205288人评价,8.6
勇士,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910900710.jpg,https://movie.douban.com/subject/1291824/,2013 / 美国 英国 / 科幻 悬疑 惊悚,还原真实而残酷的战争。,130523人评价,8.6
萤火之森,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,https://movie.douban.com/subject/1297574/,导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 柯林...,英雄泪短，兄弟情长。 ,198653人评价,8.6
萤火虫之墓,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,https://movie.douban.com/subject/3792799/,2014 / 美国 / 剧情 犯罪 悬疑 惊悚,岁月流逝，来日可追。,338666人评价,8.6
遗愿清单,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p628364149.jpg,https://movie.douban.com/subject/4798888/,导演: 西恩·潘 Sean Penn   主演: 埃米尔·赫斯基 Emile Hirsch / 马西娅·...,乐观比一切都有力量。,117588人评价,8.6
一个叫欧维的男人决定去死,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg,https://movie.douban.com/subject/1308767/,导演: 克里斯托弗·史密斯 Christopher Smith   主演: 梅利莎·乔治 Melissa ...,谁说王家卫镜头很晃？,177648人评价,8.6
小森林 夏秋篇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1043597424.jpg,https://movie.douban.com/subject/1302425/,,我是一个演员。,372905人评价,8.6
小萝莉的猴神大叔,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg,https://movie.douban.com/subject/1302467/,,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,175698人评价,8.6
我爱你,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1538646661.jpg,https://movie.douban.com/subject/1300741/,,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,109594人评价,8.6
未麻的部屋,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1959232369.jpg,https://movie.douban.com/subject/6307447/,1997 / 日本 / 动画 奇幻 惊悚,热血沸腾，那个低俗、性感的无耻混蛋又来了。,288574人评价,8.6
完美的世界,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,https://movie.douban.com/subject/10577869/,,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,234721人评价,8.6
杀人回忆,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg,https://movie.douban.com/subject/1291579/,导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...,不要给它起名字，起了名字就有感情了。,280825人评价,8.6
千钧一发,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2186861098.jpg,https://movie.douban.com/subject/1305725/,,捍卫人权只是信仰，一点不妨碍其行为的残忍。,105332人评价,8.6
魔女宅急便,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg,https://movie.douban.com/subject/10463953/,,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,287639人评价,8.6
浪潮,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,https://movie.douban.com/subject/25773932/,2010 / 美国 / 喜剧 动画 奇幻 冒险,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,267428人评价,8.6
彗星来的那一夜,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p465687407.jpg,https://movie.douban.com/subject/1905462/,导演: Sergio Leone   主演: Clint Eastwood / Eli Wallach / Lee Van Cleef,出门必备：本草纲目。,138469人评价,8.6
海盗电台,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244791866.jpg,https://movie.douban.com/subject/1296753/,2011 / 美国 加拿大 / 科幻 悬疑 惊悚,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,136418人评价,8.6
国王的演讲,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470383576.jpg,https://movie.douban.com/subject/1292214/,,我不信仰上帝，但我敬畏上帝。,128105人评价,8.6
疯狂原始人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p942376281.jpg,https://movie.douban.com/subject/1291870/,2008 / 英国 美国 / 剧情 爱情,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,229731人评价,8.6
非常嫌疑犯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p532195562.jpg,https://movie.douban.com/subject/1307793/,,现实与童话交相辉映的旅程。,113693人评价,8.6
房间,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2075132390.jpg,https://movie.douban.com/subject/1388216/,1990 / 香港 / 犯罪 剧情 爱情,天使与魔鬼的冲撞。,189903人评价,8.6
东邪西毒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,https://movie.douban.com/subject/1304447/,,一个针管引发的血案。,313205人评价,8.6
谍影重重2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg,https://movie.douban.com/subject/26614893/,2009 / 英国 澳大利亚 / 剧情 悬疑 惊悚,来啊，互相伤害啊！,235186人评价,8.6
穿条纹睡衣的男孩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,https://movie.douban.com/subject/1298070/,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...,约翰尼·德普的独角戏。,403674人评价,8.6
超能陆战队,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2496940327.jpg,https://movie.douban.com/subject/25980443/,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /...,我们都有权利不与自己的过去和解。,231641人评价,8.6
冰川时代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg,https://movie.douban.com/subject/1302827/,,对爱的执着，可以超越一切。,212601人评价,8.6
傲慢与偏见,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg,https://movie.douban.com/subject/11026735/,,Balalala~~~,428550人评价,8.6
爱在午夜降临前,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p769608791.jpg,https://movie.douban.com/subject/3007773/,导演: 邓肯·琼斯 Duncan Jones   主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...,生命不止，摇滚不死。,176490人评价,8.6
爱在日落黄昏时,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,https://movie.douban.com/subject/1297447/,2011 / 韩国 / 剧情 喜剧,两张绝世的脸。 ,301172人评价,8.6
7号房的礼物,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2275298525.jpg,https://movie.douban.com/subject/25917973/,,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,210606人评价,8.6
2001太空漫游,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2173719647.jpg,https://movie.douban.com/subject/1297478/,1996 / 美国 英国 / 爱情 剧情 战争,纯净原始的笑与感动。,103636人评价,8.6
6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p492458287.jpg,https://movie.douban.com/subject/1652587/,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...,绝对意义上的美轮美奂。,607133人评价,8.6
6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,https://movie.douban.com/subject/3395373/,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,诺兰就是保证。,332032人评价,8.6
纵横四海,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg,https://movie.douban.com/subject/1309163/,导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,320238人评价,8.5
再次出发之纽约遇见你,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.jpg,https://movie.douban.com/subject/26393561/,2013 / 美国 / 喜剧 爱情 音乐,宝莱坞的萝莉与大叔。,189978人评价,8.5
喜宴,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,https://movie.douban.com/subject/2209573/,,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,433044人评价,8.5
无敌破坏王,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p770734475.jpg,https://movie.douban.com/subject/1438652/,,昆汀同学越来越变态了，比北野武还杜琪峰。,244771人评价,8.5
我是山姆,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,https://movie.douban.com/subject/1291578/,2004 / 美国 / 剧情 爱情,松鼠才是角儿。,306431人评价,8.5
时空恋旅人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg,https://movie.douban.com/subject/1291557/,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,偷情本没有这样美。,276963人评价,8.5
枪火,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2207673534.jpg,https://movie.douban.com/subject/1298653/,,一个人的独角戏。,149613人评价,8.5
迁徙的鸟,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg,https://movie.douban.com/subject/1428175/,,每个美丽事物背后都是滴血的现实。,149043人评价,8.5
穆赫兰道,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p708613284.jpg,https://movie.douban.com/subject/1867345/,,用剩余不多的时间，去燃烧整个生命。,145650人评价,8.5
惊魂记,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p584021784.jpg,https://movie.douban.com/subject/1303394/,,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,248940人评价,8.5
借东西的小人阿莉埃蒂,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,https://movie.douban.com/subject/3287562/,,Mr. I Don't Care其实也有Care的时候。,441718人评价,8.5
记忆碎片,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p719282906.jpg,https://movie.douban.com/subject/1978709/,,黑暗之美。,465176人评价,8.5
黄金三镖客,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p571671715.jpg,https://movie.douban.com/subject/1292062/,,每个人的内心都是深不可测的大海。 ,201919人评价,8.5
荒野生存,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2408623752.jpg,https://movie.douban.com/subject/1291853/,1966 / 意大利 西班牙 西德 / 冒险 西部,"In memory, love lives forever...",186674人评价,8.5
荒蛮故事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452005185.jpg,https://movie.douban.com/subject/1418200/,,爱是摈弃傲慢与偏见之后的曙光。,343921人评价,8.5
牯岭街少年杀人事件,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg,https://movie.douban.com/subject/1304102/,导演: 陆川 Chuan Lu   主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,213882人评价,8.5
东京物语,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,https://movie.douban.com/subject/1292287/,导演: 卡比尔·汗 Kabir Khan   主演: 萨尔曼·汗 Salman Khan / 哈莎莉·马...,嬉笑怒骂，调风动月。,206907人评价,8.5
电锯惊魂,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,https://movie.douban.com/subject/1292401/,导演: 李安 Ang Lee   主演: 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...,爱，是个动词。,349173人评价,8.5
地球上的星星,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg,https://movie.douban.com/subject/1307811/,2015 / 美国 / 喜剧 动画 冒险,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,219301人评价,8.5
达拉斯买家俱乐部,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513567548.jpg,https://movie.douban.com/subject/1292528/,,不可猜的青春迷笛。 ,270811人评价,8.5
城市之光,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513303986.jpg,https://movie.douban.com/subject/2300586/,,科幻真正的魅力不是视觉效果能取代的。 ,201766人评价,8.5
变脸,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p984732992.jpg,https://movie.douban.com/subject/1294638/,导演: 詹姆斯·卡梅隆 James Cameron   主演: 阿诺·施瓦辛格 Arnold Schwarz...,生病的E.T.皮肤的颜色就像柿子饼。,170224人评价,8.5
被解救的姜戈,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg,https://movie.douban.com/subject/1305690/,,王家卫是一种风格，张国荣是一个代表。,233933人评价,8.5
爆裂鼓手,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg,https://movie.douban.com/subject/2213597/,,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,299531人评价,8.5
6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p529908155.jpg,https://movie.douban.com/subject/1292233/,导演: Stanley Kubrick   主演: Malcolm McDowell / Patrick Magee / Michael...,我完全康复了。,201992人评价,8.5
6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg,https://movie.douban.com/subject/6874403/,导演: 约翰·卡尼 John Carney   主演: 凯拉·奈特莉 Keira Knightley / 马克...,爱我就给我看你的播放列表。,194663人评价,8.5
战争之王,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,https://movie.douban.com/subject/26683290/,,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,556334人评价,8.4
新龙门客栈,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg,https://movie.douban.com/subject/3075287/,2015 / 印度 / 剧情 喜剧 动作,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,445190人评价,8.4
美国丽人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2187896711.jpg,https://movie.douban.com/subject/25807345/,,小成本大魅力。,207359人评价,8.4
朗读者,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p470006658.jpg,https://movie.douban.com/subject/1760622/,,一个单凭体香达到高潮的男人。,306073人评价,8.4
可可西里,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg,https://movie.douban.com/subject/3011051/,2012 / 美国 / 剧情 动作 西部 冒险,不要企图在重复中寻找已经失去的爱。,368652人评价,8.4
疯狂的石头,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173855883.jpg,https://movie.douban.com/subject/1292659/,,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,233176人评价,8.4
蝙蝠侠：黑暗骑士崛起,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1946455272.jpg,https://movie.douban.com/subject/1306249/,2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,华太师是黄霑，吴镇宇四大才子之一。,390784人评价,8.4
卡萨布兰卡,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,https://movie.douban.com/subject/1862151/,,中国版《两杆大烟枪》。,354499人评价,8.3
聚焦,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p768879237.jpg,https://movie.douban.com/subject/4023638/,1999 / 美国 / 剧情 爱情 家庭,皇上无话儿。,371529人评价,8.3
黑鹰坠落,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792248233.jpg,https://movie.douban.com/subject/1292217/,,大卫·林奇的梦境迷宫。,254863人评价,8.3
